sessionId,insuredId,primary_anomaly_type,ensembleRiskScore,anomaly_prob,churn_prob,totalKOs,ipChanged,deviceChanged,maxDownloadsIn2Minutes,pingPongCount
5933737-1923-82,23191923,impossible_device_switch,100.0,0.99979264,0.0,3,1,1,0,1
8312712-7178-87,66657178,impossible_device_switch,100.0,0.99994385,0.0,5,1,1,0,0
2692995-0589-93,73030589,impossible_device_switch,100.0,0.9998994,0.0,3,1,1,0,0
2702288-0838-91,62090838,impossible_device_switch,100.0,0.9997713,0.0,3,1,1,1,0
8436257-1211-81,30561211,impossible_device_switch,100.0,0.9999,0.0,3,1,1,2,0
5207996-1563-86,88461563,impossible_device_switch,100.0,0.99970055,0.0,3,1,1,1,0
1574097-7689-75,70937689,impossible_device_switch,100.0,0.9998617,0.003917767641969439,3,1,1,1,0
2339101-9559-91,46409559,impossible_device_switch,100.0,0.9998988,0.001969023198182694,3,1,1,2,0
6803040-4999-72,26094999,impossible_device_switch,100.0,0.9998055,0.003915092062771098,3,1,1,0,0
9173221-9065-67,27499065,impossible_device_switch,100.0,0.9998272,0.0,3,1,1,1,0
7493077-4717-78,86054717,impossible_device_switch,94.99545669555664,0.9998864,0.0,1,1,1,0,0
5913439-5929-77,90155929,impossible_device_switch,94.99380111694336,0.999845,0.0,1,1,1,1,0
4316885-9885-73,93739885,impossible_device_switch,94.99372482299805,0.9998431,0.0,1,1,1,1,0
500354-0589-80,73030589,impossible_device_switch,94.99297714233398,0.99982446,0.0,2,1,1,1,0
3489900-5970-83,76515970,impossible_device_switch,94.9926986694336,0.99981743,0.0,2,1,1,0,0
5896433-9108-78,75559108,impossible_device_switch,94.99229049682617,0.9998073,0.0,1,1,1,1,0
4574962-3444-82,86943444,impossible_device_switch,94.99224472045898,0.9998061,0.0,2,1,1,1,0
7725682-6264-90,61156264,impossible_device_switch,94.99192810058594,0.99979824,0.0,0,1,1,0,0
7297126-3375-74,68033375,impossible_device_switch,94.99118423461914,0.99977964,0.0,2,1,1,0,0
4431154-1885-69,24671885,impossible_device_switch,94.98805236816406,0.9997013,0.0,0,1,1,1,0
1172916-7235-74,86187235,impossible_device_switch,94.9862289428711,0.9996557,0.0,1,1,1,1,0
8354769-9286-81,83879286,impossible_device_switch,94.98587799072266,0.9996469,0.0,2,1,1,0,1
7650732-9215-78,64939215,impossible_device_switch,94.98430633544922,0.9996076,0.0,1,1,1,1,0
2719820-7689-82,70937689,impossible_device_switch,94.9842758178711,0.9996069,0.0,2,1,1,1,0
2786061-8422-86,38848422,impossible_device_switch,94.98323822021484,0.9995809,0.0,2,1,1,1,0
2355397-5947-78,10045947,impossible_device_switch,94.9778060913086,0.99944514,0.0,1,1,1,0,0
386633-4974-90,59884974,impossible_device_switch,94.97749710083008,0.9994374,0.0,0,1,1,0,0
9500356-1274-81,12801274,impossible_device_switch,94.94769668579102,0.99869245,0.0,0,1,1,0,0
796462-1665-81,52741665,geo_jump,85.04707065281313,0.99970764,0.003917767641969439,3,1,0,1,0
3049908-1451-84,19911451,data_exfiltration,84.99869537353516,0.99996734,0.0,8,0,0,18,3
976859-6250-87,87156250,data_exfiltration,84.99864959716797,0.99996626,0.0,8,0,0,16,7
5887654-5947-89,10045947,data_exfiltration,84.99864959716797,0.99996626,0.0,7,0,0,17,2
3632859-8451-79,59358451,data_exfiltration,84.9986457824707,0.99996614,0.0,9,0,0,18,4
6177171-4932-75,84324932,data_exfiltration,84.99855041503906,0.99996376,0.0,10,0,0,17,2
4380838-4578-86,68904578,data_exfiltration,84.99842071533203,0.99996054,0.0,6,0,0,16,3
670661-5970-66,76515970,data_exfiltration,84.99836730957031,0.99995923,0.0,6,0,0,14,5
2277659-8135-79,24968135,data_exfiltration,84.99832534790039,0.99995816,0.0,7,0,0,18,3
736949-9506-73,20109506,data_exfiltration,84.99809265136719,0.9999523,0.0,8,0,0,16,2
9911178-9232-92,26009232,data_exfiltration,84.9980354309082,0.9999509,0.0,10,0,0,17,3
959986-1104-84,37941104,data_exfiltration,84.99802017211914,0.9999505,0.0,7,0,0,17,3
7513538-7570-78,76017570,data_exfiltration,84.99798583984375,0.9999497,0.0,6,0,0,12,3
8870446-7472-88,49677472,data_exfiltration,84.99796295166016,0.9999491,0.0,5,0,0,14,4
3397182-6510-91,24846510,geo_jump,84.9977912902832,0.9999448,0.0,4,1,0,0,0
9478092-4366-88,76114366,data_exfiltration,84.99751281738281,0.9999378,0.0,12,0,0,18,5
1165626-9559-77,46409559,data_exfiltration,84.99735260009766,0.99993384,0.0,7,0,0,16,2
6634097-7366-87,18527366,data_exfiltration,84.9971694946289,0.9999292,0.0,6,0,0,14,2
6414696-1923-70,23191923,data_exfiltration,84.99625396728516,0.9999063,0.0,8,0,0,16,2
8657645-1807-78,20101807,geo_jump,84.99376678466797,0.9998442,0.0,3,1,0,0,0
8271629-4550-83,42954550,geo_jump,84.99257278442383,0.99981433,0.0,5,1,0,1,0
6567153-4323-87,74584323,ping_pong_loop,70.02855041503906,0.99996376,0.002,4,0,0,0,4
2778728-7286-79,55537286,geo_jump,70.01635073462087,0.99966633,0.0019798906902197726,2,1,0,0,0
3245794-0842-75,45740842,data_exfiltration,69.9988784790039,0.999972,0.0,4,0,0,15,0
7070094-0213-89,32910213,ping_pong_loop,69.99851608276367,0.9999629,0.0,4,0,0,0,6
1460282-6967-78,65756967,data_exfiltration,69.99849700927734,0.99996245,0.0,7,0,0,16,1
6718221-4218-79,66254218,ping_pong_loop,69.99842071533203,0.99996054,0.0,6,0,0,4,7
7171458-5396-88,95445396,data_exfiltration,69.99839401245117,0.9999598,0.0,4,0,0,15,1
9089991-8688-86,76588688,ping_pong_loop,69.99837875366211,0.99995947,0.0,8,0,0,0,7
4841869-1923-84,23191923,ping_pong_loop,69.99837875366211,0.99995947,0.0,4,0,0,4,7
6915669-5754-92,94265754,ping_pong_loop,69.99837875366211,0.99995947,0.0,4,0,0,4,7
9897490-0240-72,69040240,ping_pong_loop,69.99831771850586,0.9999579,0.0,4,0,0,4,7
5044148-1632-78,97381632,data_exfiltration,69.99830627441406,0.9999577,0.0,7,0,0,15,1
2832738-6510-89,16886510,distributed_brute_force,69.99826431274414,0.9999566,1.0,4,0,0,0,0
5742257-7689-89,70937689,distributed_brute_force,69.99826431274414,0.9999566,1.0,4,0,0,0,0
7367896-9817-85,83289817,ping_pong_loop,69.99824142456055,0.999956,0.0,4,0,0,3,4
938359-8525-89,54138525,ping_pong_loop,69.99820709228516,0.9999552,0.0,7,0,0,5,8
5675148-6264-74,61156264,data_exfiltration,69.99817657470703,0.99995446,0.0,5,0,0,14,1
2182018-2174-81,67292174,ping_pong_loop,69.99808883666992,0.9999522,0.0,5,0,0,0,8
8241069-1923-79,23191923,data_exfiltration,69.998046875,0.9999511,0.0,4,0,0,13,1
1711219-5178-91,88325178,data_exfiltration,69.9980239868164,0.99995065,0.0,8,0,0,13,0
8938738-5947-83,10045947,ping_pong_loop,69.9980239868164,0.99995065,0.0,4,0,0,4,6
9883589-9172-83,76949172,distributed_brute_force,69.9979248046875,0.99994814,1.0,4,0,0,0,0
3759381-7570-87,76017570,distributed_brute_force,69.9979019165039,0.99994755,1.0,3,0,0,0,0
7357994-3538-86,48973538,distributed_brute_force,69.99790035167408,0.9999491,0.9999958266675941,3,0,0,0,0
1083435-1632-84,97381632,ping_pong_loop,69.99784088134766,0.999946,0.0,5,0,0,4,7
7131524-4974-88,59884974,data_exfiltration,69.99780654907227,0.99994516,0.0,6,0,0,17,1
8032418-4950-81,57174950,distributed_brute_force,69.99779636516979,0.99994814,0.9999914373654856,3,0,0,0,0
5305463-5867-82,82425867,distributed_brute_force,69.9977411217229,0.99995303,0.9999745301851724,3,0,0,0,0
5857666-0967-84,42340967,ping_pong_loop,69.99740219116211,0.99993503,0.0,4,0,0,3,4
4120347-0257-89,60630257,distributed_brute_force,69.99736695598733,0.9999393,0.9999862068965517,3,0,0,0,0
5636316-2210-87,36722210,distributed_brute_force,69.99721908569336,0.9999305,1.0,3,0,0,0,0
6413859-8594-75,17528594,ping_pong_loop,69.99720001220703,0.99993,0.0,3,0,0,0,7
2609228-2961-85,78922961,ping_pong_loop,69.99699020385742,0.9999248,0.0,3,0,0,0,6
9795801-8021-72,26998021,ping_pong_loop,69.996826171875,0.9999206,0.0,3,0,0,4,6
4326220-4571-87,33414571,ping_pong_loop,69.9968032836914,0.9999201,0.0,3,0,0,4,7
9726562-6871-89,39376871,ping_pong_loop,69.99670028686523,0.9999175,0.0,3,0,0,4,7
9159667-7890-92,51497890,distributed_brute_force,69.99668622833902,0.999928,0.9999710883183038,3,0,0,0,0
7577386-9442-79,25209442,ping_pong_loop,69.99662399291992,0.9999156,0.0,3,0,0,4,7
3683469-5543-70,44445543,ping_pong_loop,69.99654769897461,0.9999137,0.0,3,0,0,0,6
7519485-9720-82,76159720,ping_pong_loop,69.99652481079102,0.9999131,0.0,3,0,0,0,4
5737157-7890-85,51497890,ping_pong_loop,69.99626159667969,0.99990654,0.0,3,0,0,0,8
4200437-5754-87,94265754,ping_pong_loop,69.99608612060547,0.9999021,0.0,3,0,0,4,7
8982428-6424-85,59396424,distributed_brute_force,69.99596619577119,0.9999068,0.999979797979798,3,0,0,0,0
9945009-4578-81,68904578,ping_pong_loop,69.99530029296875,0.99988246,0.0,3,0,0,5,8
543690-2174-91,67292174,data_exfiltration,69.99479293823242,0.9998698,0.0,7,0,0,14,1
5371782-5580-77,69605580,ping_pong_loop,69.99457550048828,0.99986434,0.0,3,0,0,4,7
486774-9380-85,18449380,data_exfiltration,69.99319458007812,0.9998299,0.0,2,0,0,15,2
7185111-2858-81,94832858,geo_jump,69.9908676147461,0.99977165,0.0,1,1,0,1,0
8697551-1807-92,20101807,geo_jump,69.99068450927734,0.9997671,0.0,1,1,0,0,1
1111837-7890-91,51497890,repeated_fail,69.99003982543945,0.99975103,0.0,4,0,0,0,2
8446551-9380-89,18449380,geo_jump,69.98933029174805,0.99973327,0.0,1,1,0,2,0
8524182-8135-84,24968135,geo_jump,69.98904418945312,0.9997261,0.0,1,1,0,1,1
9504062-9065-83,27499065,geo_jump,69.98786544799805,0.9996966,0.0,1,1,0,1,0
8289567-7178-80,66657178,geo_jump,69.98702621459961,0.99967563,0.0,1,1,0,0,0
9520342-3938-80,12183938,geo_jump,69.98584747314453,0.9996462,0.0,2,1,0,2,0
669125-2332-91,27322332,geo_jump,69.9847640991211,0.9996191,0.0,0,1,0,1,0
8173585-5893-83,63855893,geo_jump,69.9845199584961,0.999613,0.0,2,1,0,0,0
2518755-1211-86,30561211,geo_jump,69.98381042480469,0.9995952,0.0,2,1,0,1,0
2958249-8964-92,22978964,geo_jump,69.98347473144531,0.9995869,0.0,0,1,0,0,0
9462161-0911-88,15830911,geo_jump,69.98221206665039,0.9995553,0.0,2,1,0,1,0
2148632-2961-78,78922961,geo_jump,69.9820556640625,0.99955136,0.0,1,1,0,1,0
1768331-2080-94,44102080,geo_jump,69.98181533813477,0.9995454,0.0,2,1,0,1,0
1267532-9215-72,64939215,geo_jump,69.98088836669922,0.9995222,0.0,1,1,0,1,0
7557267-1729-72,77221729,geo_jump,69.97780227661133,0.999445,0.0,1,1,0,0,0
7440656-6730-82,35396730,geo_jump,69.97634506225586,0.9994086,0.0,1,1,0,0,0
112780-9697-84,52669697,geo_jump,69.97584915161133,0.9993962,0.0,1,1,0,1,0
3280643-5893-84,63855893,geo_jump,69.97362899780273,0.9993407,0.0,2,1,0,0,0
1900616-5764-91,90495764,geo_jump,69.97274398803711,0.9993186,0.0,2,1,0,1,0
6962090-8964-81,22978964,geo_jump,69.97122573852539,0.99928063,0.0,0,1,0,0,0
852423-7366-85,18527366,geo_jump,69.97115707397461,0.99927896,0.0,1,1,0,0,0
4601962-0257-92,60630257,geo_jump,69.96933364868164,0.99923337,0.0,0,1,0,0,0
892097-0357-77,95930357,zombie_session,69.96878494137823,0.99997675,0.9979810485007365,3,0,0,1,0
7009003-6953-82,84526953,geo_jump,69.9687728881836,0.9992193,0.0,0,1,0,0,0
1141482-4578-77,68904578,geo_jump,69.96821975708008,0.9992055,0.0,2,1,0,1,0
1006430-8688-84,76588688,distributed_brute_force,69.96765167021104,0.9999479,0.9979822996612044,3,0,0,0,0
4809574-9442-83,25209442,geo_jump,69.96725845336914,0.99918145,0.0,0,1,0,0,0
2465091-7235-78,86187235,distributed_brute_force,69.96709935155194,0.9999474,0.9979467499830198,4,0,0,0,0
7012760-0491-79,30500491,geo_jump,69.96395492553711,0.9990989,0.0,0,1,0,0,0
8969390-7724-90,73967724,geo_jump,69.96099090576172,0.99902475,0.0,0,1,0,1,0
515276-1632-75,97381632,geo_jump,69.9533576965332,0.99883395,0.0,2,1,0,1,0
1461807-0659-83,76490659,distributed_brute_force,69.93743426892891,0.99995065,0.9959606854741666,4,0,0,0,0
4895340-6903-70,81316903,zombie_session,69.93414713107424,0.9999349,0.9957832503072932,3,0,0,1,0
2696579-6967-75,65756967,distributed_brute_force,69.90636627024307,0.9999423,0.9939116108059186,4,0,0,0,0
5285591-4578-79,68904578,distributed_brute_force,69.90600956383184,0.9999287,0.9939241971591023,3,0,0,0,0
9477094-7689-90,70937689,zombie_session,69.90154501509684,0.9999224,0.9936433452447374,3,0,0,1,0
4515929-0282-74,64010282,distributed_brute_force,69.87690794000412,0.99993277,0.9919731534384251,4,0,0,0,0
3840610-8990-81,25358990,zombie_session,69.87574813414454,0.9999454,0.9918620093986983,3,0,0,1,0
7058284-7890-81,51497890,zombie_session,69.84516003234293,0.999938,0.9898426390377061,4,0,0,1,0
5160879-9817-95,83289817,zombie_session,69.77954758497069,0.9999281,0.9854949244472646,3,0,0,1,0
1595455-6264-89,61156264,distributed_brute_force,69.72669441677006,0.9999485,0.9819169568862328,4,0,0,0,0
3241537-0864-86,70500864,distributed_brute_force,69.69689278102787,0.9999535,0.9799169568862328,4,0,0,0,0
2038907-7178-86,66657178,distributed_brute_force,69.69629758895657,0.99994326,0.9799044889219742,4,0,0,0,0
4100992-1104-86,37941104,distributed_brute_force,69.69616163659286,0.9999615,0.9798468516192119,4,0,0,0,0
3489242-9506-82,20109506,impossible_seq,55.50636448800748,0.99994993,0.03389114693812891,4,0,0,2,0
8342361-9065-86,27499065,impossible_seq,55.14271135876851,0.9998437,0.009930909839124681,3,0,0,1,0
4523892-9578-76,44739578,impossible_seq,55.085741732950474,0.9999026,0.005975769257245129,3,0,0,1,0
6333260-1563-80,88461563,impossible_seq,55.05522399902344,0.99988055,0.004,3,0,0,1,0
1324165-2961-81,78922961,rapid_fire,55.02531679078086,0.99994576,0.0018324902350003202,3,0,0,1,0
9357745-8422-87,38848422,unusual_hour,55.02377954021995,0.99986494,0.00194541010320478,3,0,0,0,0
