current_action,actual_next_action,frequency
Connexion,Signature électronique d'un mandat sepa,42
Connexion,Partager un justificatif du PACS,40
Connexion,Envoi d'une réclamation,38
Connexion,envoi d'une demande de résiliation,37
Connexion,Renvoi carte TP papier,31
Connexion SSO,SSO Disconnect,29
Connexion,Télécharger le certificat d'adhésion,28
Connexion,demander un renvoi par mail d'échéancier,27
Validation MFA,"Changer les coordonnées bancaire, changement de RIB pour les cotisations",25
Connexion,Téléchargement carte TP,25
Connexion,Changer l'organisme de rattachement sécu. Social,24
Exporter remboursement,Envoi d'un document,23
Connexion,Changer les coordonnées bancaire,23
Connexion,Déconnexion,22
Validation MFA,"Changer les coordonnées bancaire, changement de RIB pour les remboursements",21
Télécharger un décompte,Ouverture d'un document contractuel,21
Connexion,Envoi carte TP par mail,21
Connexion SSO,demander un renvoi par mail d'échéancier,20
Validation MFA,Envoi carte TP par mail,19
Validation MFA,demander un renvoi par mail d'échéancier,19
Validation MFA,Envoi d'un message,19
Exporter remboursement,Changement de Mot de passe,17
Connexion,Envoi d'un message,16
Exporter remboursement,Ouverture d'un document contractuel,16
Connexion SSO,Envoi d'un message,15
Connexion,"Changer les coordonnées bancaire, changement de RIB pour les cotisations",15
Partager un justificatif du PACS,demander un renvoi par mail d'échéancier,14
Connexion en tant que,Envoi carte TP par mail,14
Connexion SSO,"Changer les coordonnées bancaire, changement de RIB pour les remboursements",14
Signature électronique d'un mandat sepa,Renvoi carte TP papier,13
Ouverture d'un document contractuel,Changer les coordonnées bancaire,13
demander un renvoi par mail d'échéancier,Partager un justificatif du PACS,13
Envoi d'une réclamation,Exporter remboursement,13
Exporter remboursement,Téléchargement de la carte de tiers payant,13
Changer ses informations personnel,Partager un justificatif du PACS,13
Connexion en tant que,Exporter remboursement,13
demander un renvoi par mail d'échéancier,Envoi d'un document,12
Envoi d'un document,Envoi carte TP par mail,12
Signature électronique d'un mandat sepa,Ouverture d'un document contractuel,12
Téléchargement de la carte de tiers payant,Ouverture d'un document contractuel,11
Validation MFA,"Contactez nous : via message (Mon adhésion, Autres)",11
Validation MFA,Contactez nous : via message (Mes cotisations),11
Télécharger un décompte,Envoi carte TP par mail,11
Exporter remboursement,Téléchargement carte TP,11
Téléchargement carte TP,Ouverture d'un document contractuel,11
Ouverture d'un document contractuel,Changer l'organisme de rattachement sécu. Social,11
Ouverture d'un document contractuel,Téléchargement carte TP,11
Connexion SSO,Contactez nous : via message (Mes garanties),11
Connexion,"Changer les coordonnées bancaire, changement de RIB pour les remboursements",11
Connexion SSO,Contactez nous : via message (Mes remboursements),11
Connexion en tant que,SSO Disconnect,11
Changer l'organisme de rattachement sécu. Social,"Changer les coordonnées bancaire, changement de RIB pour les cotisations",11
Changer ses informations personnel,Changer les coordonnées bancaire,11
Ouverture d'un document contractuel,Télécharger le certificat d'adhésion,11
Signature électronique d'un mandat sepa,Changer ses informations personnel,10
Envoi d'un document,"Changer les coordonnées bancaire, changement de RIB pour les cotisations",10
Envoi d'un document,demander un renvoi par mail d'échéancier,10
Signature électronique d'un mandat sepa,Partager un justificatif du PACS,10
Exporter remboursement,Envoi d'une réclamation,10
Téléchargement de la carte de tiers payant,Changer ses informations personnel,10
Envoi d'un document,Renvoi carte TP papier,10
Connexion,"Contactez nous : via message (Mon adhésion, Autres)",10
Changement de Mot de passe,Télécharger le certificat d'adhésion,10
Changer les coordonnées bancaire,Ouverture d'un document contractuel,9
Changer l'organisme de rattachement sécu. Social,Ouverture d'un document contractuel,9
Connexion en tant que,envoi d'une demande de résiliation,9
Connexion en tant que,Télécharger le certificat d'adhésion,9
Envoi d'un document,Envoi d'une réclamation,9
Envoi d'un document,Changement de Mot de passe,9
Exporter remboursement,Partager un justificatif du PACS,8
Connexion SSO,"Contactez nous : via message (Mon adhésion, Autres)",8
Connexion SSO,Contactez nous : via message (Mes prises en charge/devis),8
Changer les coordonnées bancaire,Changement de Mot de passe,8
Connexion SSO,Contactez nous : via message (Mes cotisations),8
Envoi d'un document,Télécharger le certificat d'adhésion,8
"Changer les coordonnées bancaire, changement de RIB pour les cotisations",Ouverture d'un document contractuel,8
Partager un justificatif du PACS,"Changer les coordonnées bancaire, changement de RIB pour les cotisations",8
Changer ses informations personnel,Signature électronique d'un mandat sepa,8
Changer ses informations personnel,Télécharger le certificat d'adhésion,7
Télécharger un décompte,Renvoi carte TP papier,7
Télécharger un décompte,Changement de Mot de passe,7
Validation MFA,Contactez nous : via message (Mes remboursements),7
Contactez nous : via message (Ma carte tiers-payant),Ouverture d'un document contractuel,7
Signature électronique d'un mandat sepa,Exporter remboursement,7
Connexion en tant que,Téléchargement carte TP,7
Ouverture d'un document contractuel,Contactez nous : via message (Ma carte tiers-payant),7
Envoi d'une réclamation,Téléchargement carte TP,7
Envoi carte TP par mail,Ajout de la carte tiers payant dans le wallet,7
Partager un justificatif du PACS,Changement de Mot de passe,7
Ouverture d'un document contractuel,Renvoi carte TP papier,7
envoi d'une demande de résiliation,demander un renvoi par mail d'échéancier,7
Connexion,Contactez nous : via message (Mes cotisations),7
Envoi d'un document,Ajout de la carte tiers payant dans le wallet,7
Exporter remboursement,"Changer les coordonnées bancaire, changement de RIB pour les remboursements",7
Envoi d'un document,Changer les coordonnées bancaire,7
Envoi d'une réclamation,"Contactez nous : via message (Mon adhésion, Autres)",6
Ouverture d'un document contractuel,"Changer les coordonnées bancaire, changement de RIB pour les cotisations",6
Contactez nous : via message (Mes garanties),Ouverture d'un document contractuel,6
Ouverture d'un document contractuel,Envoi carte TP par mail,6
Téléchargement de la carte de tiers payant,Changement de Mot de passe,6
Télécharger le certificat d'adhésion,Téléchargement carte TP,6
Validation MFA,Contactez nous : via message (Mes garanties),6
Changement de Mot de passe,Partager un justificatif du PACS,6
Télécharger un décompte,Partager un justificatif du PACS,6
Signature électronique d'un mandat sepa,Changement de Mot de passe,6
Ouverture d'un document contractuel,Changement de Mot de passe,6
