use_case,recommended_approach,family,selection_metric,metric_value,secondary_metrics
security_anomaly_detection_ranking,XGBoost,tabular_anomaly,pr_auc,0.5158066864165053,"{'auc': 0.9087463307487849, 'pr_auc': 0.5158066864165053, 'f1': 0.5677546983184966, 'precision': 0.574, 'recall': 0.5616438356164384, 'accuracy': 0.99126, 'balanced_accuracy': 0.7786699244359546, 'latency_ms': 0.006059353179989557}"
security_anomaly_detection_alerting,LightGBM,tabular_anomaly,best_f1,0.56973293768546,"{'auc': 0.9073643398744564, 'pr_auc': 0.48019737900591103, 'f1': 0.56973293768546, 'precision': 0.576, 'recall': 0.5636007827788649, 'accuracy': 0.9913, 'balanced_accuracy': 0.7796585012724369, 'latency_ms': 0.030181209740003396}"
security_anomaly_detection_auc_reference,XGBoost,tabular_anomaly,anomaly_auc,0.9087463307487849,"{'auc': 0.9087463307487849, 'pr_auc': 0.5158066864165053, 'f1': 0.5677546983184966, 'precision': 0.574, 'recall': 0.5616438356164384, 'accuracy': 0.99126, 'balanced_accuracy': 0.7786699244359546, 'latency_ms': 0.006059353179989557}"
sequence_foundation_best_detection,Behavioral Transformer MH (2-head),deep_sequence,anomaly_auc,0.818647,"{'val_acc1': 0.749521, 'val_acc3': 0.877255, 'cat_acc': 0.668767, 'auc': 0.818647, 'latency_ms': 3.2116}"
sequence_foundation_next_action_prediction,Behavioral Transformer MH (2-head),deep_sequence,val_acc1,0.749521,"{'val_acc1': 0.749521, 'val_acc3': 0.877255, 'cat_acc': 0.668767, 'auc': 0.818647, 'latency_ms': 3.2116}"
sequence_runtime_fast_combined,Temporal CNN / TCN,deep_sequence,combined_score,0.6918053044920878,"{'val_acc1': 0.748792, 'val_acc3': 0.877972, 'cat_acc': 0.668993, 'auc': 0.812815, 'latency_ms': 1.9091}"
anomaly_type_api_scraping,XGBoost,tabular_anomaly,auc_vs_rest,0.930093000746637,"{'ap_vs_rest': 0.1390186161069212, 'count': 188}"
anomaly_type_credential_stuffing,CNN + Transformer Hybrid,deep_sequence,auc_vs_rest,0.9671682710417471,"{'ap_vs_rest': 0.016129689120716807, 'count': 97}"
anomaly_type_data_exfiltration,CatBoost,tabular_anomaly,auc_vs_rest,0.8935430676679671,"{'ap_vs_rest': 0.05890503468043847, 'count': 114}"
anomaly_type_off_hours_compromise,OneClassSVM RBF,tabular_anomaly,auc_vs_rest,0.8895304571928759,"{'ap_vs_rest': 0.09253722730630237, 'count': 71}"
anomaly_type_session_hijacking,Deeper Transformer MH (3-layer),deep_sequence,auc_vs_rest,0.9711671383171063,"{'ap_vs_rest': 0.06910902302781731, 'count': 160}"
persona_clustering,Behavioral_Transformer_MH_2-head_embedding_plus_profile + KMeans k=7,clustering,ARI,0.746751274364381,"{'NMI': np.float64(0.8250479716688742), 'purity': 0.7975951903807615, 'silhouette': np.float32(0.15253875), 'feature_type': 'hybrid_embedding_profile', 'dim': 161}"
churn_ranking_auc,profile_only + ExtraTrees,churn_classifier,AUC,0.9533569581457715,"{'AUC': 0.9533569581457715, 'PR_AUC': 0.8875139527986651, 'F1': 0.8, 'Precision': 0.9047619047619048, 'Recall': 0.7169811320754716, 'Accuracy': 0.924, 'BalancedAccuracy': 0.8483382817737765}"
churn_ranking_pr_auc,profile_only + ExtraTrees,churn_classifier,PR_AUC,0.8875139527986651,"{'AUC': 0.9533569581457715, 'PR_AUC': 0.8875139527986651, 'F1': 0.8, 'Precision': 0.9047619047619048, 'Recall': 0.7169811320754716, 'Accuracy': 0.924, 'BalancedAccuracy': 0.8483382817737765}"
churn_operational_f1,profile_only + ExtraTrees,churn_classifier,F1,0.8,"{'AUC': 0.9533569581457715, 'PR_AUC': 0.8875139527986651, 'F1': 0.8, 'Precision': 0.9047619047619048, 'Recall': 0.7169811320754716, 'Accuracy': 0.924, 'BalancedAccuracy': 0.8483382817737765}"
forecast_anomaly_rate,Ridge,forecasting_regressor,RMSE,0.051724400544232,"{'MAE': 0.015339629245264566, 'MAPE': 582435.2997750988, 'train_s': 0.0014480280005955137, 'note': 'MAPE is reported but not used as primary when targets can be near zero.'}"
forecast_total_events,XGBoost,forecasting_regressor,RMSE,1468.5155387906652,"{'MAE': 715.8628234863281, 'MAPE': 156904103000.3181, 'train_s': 0.27640557899940177, 'note': 'MAPE is reported but not used as primary when targets can be near zero.'}"
