sessionId,insuredId,persona,countryCode,city,sessionNumber,sessionStart,sessionEnd,startHour,endHour,dayOfWeek,isWeekend,firstAction,lastAction,firstRoute,lastRoute,totalEvents,totalDurationSeconds,avgInterActionSeconds,minInterActionSeconds,maxInterActionSeconds,uniqueActions,uniqueRoutes,uniqueIpsUsed,uniqueDevicesUsed,totalKOs,totalOKs,longestKoStreak,hasLogin,hasLogout,ipChanged,deviceChanged,totalDownloadActions,maxDownloadsIn2Minutes,pingPongCount,endedAbruptly,is_anomaly,primary_anomaly_type,month,riskScoreMax,riskScoreAvg,anomaly_event_count,anomaly_types,campaignIds,actionSequenceSignature,routeSequenceSignature,iso_score,anomaly_prob,churn_prob,ensembleRiskScore
5933737-1923-82,23191923,self_service,FR,Paris,82,2025-11-29 18:37:11+00:00,2025-11-29 18:59:11+00:00,18,18,5,1,Connexion,Déconnexion,login,logout,6,1320.0,264.0,24.0,531.0,5,5,2,2,3,3,2,1,1,1,1,0,0,1,0,1,impossible_device_switch,2025-11,90,47.5,6,"[""impossible_device_switch""]",[],Connexion > envoi d'une demande de résiliation > Exporter remboursement > Changement de Mot de passe > Exporter remboursement > Déconnexion,login > resiliation > refunds > personal_info > refunds > logout,0.5614326919448479,0.99979264,0.0,100.0
8312712-7178-87,66657178,admin_delegated,DE,Hamburg,87,2025-12-15 18:27:08+00:00,2025-12-15 18:57:08+00:00,18,18,0,0,Connexion,Déconnexion,login,logout,6,1800.0,360.0,17.0,561.0,6,5,2,2,5,1,3,1,1,1,1,0,0,0,0,1,impossible_device_switch,2025-12,90,53.33,6,"[""impossible_device_switch""]",[],Connexion > Changement de Mot de passe > envoi d'une demande de résiliation > Changer ses informations personnel > Changer l'organisme de rattachement sécu. Social > Déconnexion,login > personal_info > resiliation > personal_info > preferences > logout,0.5749913028453912,0.99994385,0.0,100.0
2692995-0589-93,73030589,frequent_checker,IT,Rome,93,2025-12-09 11:10:05+00:00,2025-12-09 11:32:40+00:00,11,11,1,0,Connexion,Déconnexion,login,logout,6,1355.0,271.0,14.0,442.0,6,5,2,2,3,3,2,1,1,1,1,0,0,0,0,1,impossible_device_switch,2025-12,90,45.0,6,"[""impossible_device_switch""]",[],Connexion > Partager un justificatif du PACS > demander un renvoi par mail d'échéancier > Envoi d'une réclamation > Changer l'organisme de rattachement sécu. Social > Déconnexion,login > documents > claims > claims > preferences > logout,0.5444842344486279,0.9998994,0.0,100.0
2702288-0838-91,62090838,admin_delegated,PT,Porto,91,2025-12-09 18:03:24+00:00,2025-12-09 18:11:59+00:00,18,18,1,0,Connexion en tant que,SSO Disconnect,login,logout,6,515.0,103.0,41.0,239.0,6,6,2,2,3,3,2,1,1,1,1,1,1,0,0,1,impossible_device_switch,2025-12,90,47.5,6,"[""impossible_device_switch""]",[],Connexion en tant que > envoi d'une demande de résiliation > Téléchargement de la carte de tiers payant > Envoi d'une réclamation > Exporter remboursement > SSO Disconnect,login > resiliation > tp_card > claims > refunds > logout,0.5952043755063967,0.9997713,0.0,100.0
8436257-1211-81,30561211,admin_delegated,BE,Brussels,81,2025-11-28 08:03:28+00:00,2025-11-28 08:12:38+00:00,8,8,4,0,Connexion,Déconnexion,login,logout,5,550.0,137.5,54.0,208.0,5,5,2,2,3,2,3,1,1,1,1,2,2,0,0,1,impossible_device_switch,2025-11,90,58.0,5,"[""impossible_device_switch""]",[],Connexion > Contactez nous : via message (Mes garanties) > Envoi d'un document > Envoi carte TP par mail > Déconnexion,login > contact_general > documents > preferences > logout,0.5768640078274406,0.9999,0.0,100.0
5207996-1563-86,88461563,new_user,FR,Lyon,86,2025-12-08 12:48:14+00:00,2025-12-08 13:02:23+00:00,12,13,0,0,Connexion SSO,SSO Disconnect,login,logout,6,849.0,169.8,50.0,351.0,6,6,2,2,3,3,2,1,1,1,1,1,1,0,0,1,impossible_device_switch,2025-12,90,45.0,6,"[""impossible_device_switch""]",[],Connexion SSO > demander un renvoi par mail d'échéancier > Ouverture d'un document contractuel > Changement de Mot de passe > Changer l'organisme de rattachement sécu. Social > SSO Disconnect,login > claims > documents > personal_info > beneficiaries > logout,0.5560295445665218,0.99970055,0.0,100.0
1574097-7689-75,70937689,self_service,FR,Nantes,75,2025-10-31 14:56:27+00:00,2025-10-31 15:13:57+00:00,14,15,4,0,Connexion,Déconnexion,login,logout,5,1050.0,262.5,37.0,594.0,5,5,2,2,3,2,1,1,1,1,1,1,1,0,0,1,impossible_device_switch,2025-10,90,52.0,5,"[""impossible_device_switch""]",[],Connexion > Changer l'organisme de rattachement sécu. Social > Contactez nous : via message (Mes garanties) > Ouverture d'un document contractuel > Déconnexion,login > beneficiaries > contact_general > documents > logout,0.4876982961548787,0.9998617,0.003917767641969439,100.0
2339101-9559-91,46409559,frequent_checker,IT,Rome,91,2025-12-21 18:38:39+00:00,2025-12-21 19:05:40+00:00,18,19,6,1,Connexion,Déconnexion,login,logout,6,1621.0,324.2,24.0,841.0,6,5,2,2,3,3,2,1,1,1,1,2,2,0,0,1,impossible_device_switch,2025-12,90,50.0,6,"[""impossible_device_switch""]",[],"Connexion > Téléchargement carte TP > Envoi d'un document > Changer les coordonnées bancaire, changement de RIB pour les cotisations > Changer les coordonnées bancaire > Déconnexion",login > tp_card > documents > banking > banking > logout,0.6051023091555766,0.9998988,0.001969023198182694,100.0
6803040-4999-72,26094999,self_service,IT,Turin,72,2025-10-29 10:26:56+00:00,2025-10-29 10:37:15+00:00,10,10,2,0,Connexion,Déconnexion,login,logout,5,619.0,154.75,43.0,397.0,5,5,2,2,3,2,1,1,1,1,1,0,0,0,0,1,impossible_device_switch,2025-10,90,52.0,5,"[""impossible_device_switch""]",[],Connexion > Contactez nous : via message (Mes remboursements) > demander un renvoi par mail d'échéancier > Exporter remboursement > Déconnexion,login > contact_general > claims > refunds > logout,0.5095931833445201,0.9998055,0.003915092062771098,100.0
9173221-9065-67,27499065,new_user,IT,Bologna,67,2025-10-28 12:48:43+00:00,2025-10-28 13:09:05+00:00,12,13,1,0,Connexion,Déconnexion,login,logout,6,1222.0,244.4,50.0,473.0,6,6,2,2,3,3,2,1,1,1,1,1,1,0,0,1,impossible_device_switch,2025-10,90,47.5,6,"[""impossible_device_switch""]",[],Connexion > Envoi d'une réclamation > envoi d'une demande de résiliation > Contactez nous : via message (Mes cotisations) > Télécharger un décompte > Déconnexion,login > claims > resiliation > contact_general > refunds > logout,0.5510348613799546,0.9998272,0.0,100.0
