sessionId,insuredId,persona,countryCode,city,month,sessionNumber,sessionStart,sessionEnd,startHour,endHour,dayOfWeek,isWeekend,firstAction,lastAction,firstRoute,lastRoute,totalEvents,totalDurationSeconds,avgInterActionSeconds,minInterActionSeconds,maxInterActionSeconds,uniqueActions,uniqueRoutes,uniqueIpsUsed,uniqueDevicesUsed,totalKOs,totalOKs,longestKoStreak,hasLogin,hasLogout,ipChanged,deviceChanged,totalDownloadActions,maxDownloadsIn2Minutes,pingPongCount,riskScoreMax,riskScoreAvg,endedAbruptly,is_anomaly,anomaly_event_count,primary_anomaly_type,anomaly_types,campaignIds,actionSequenceSignature,routeSequenceSignature
3437763-7464-6,37787464,frequent_checker,FR,Nantes,2025-01,6,2025-01-01T07:50:28.000Z,2025-01-01T07:53:25.000Z,7,7,2,0,Connexion,Déconnexion,login,logout,5,177,44.25,16,101,5,3,1,1,0,5,0,1,1,0,0,2,2,0,0,0.0,0,0,0,normal,[],[],Connexion > Validation MFA > Téléchargement de la carte de tiers payant > Envoi carte TP par mail > Déconnexion,login > login > tp_card > tp_card > logout
5352346-8377-7,90588377,contact_heavy,FR,Marseille,2025-01,7,2025-01-01T07:56:45.000Z,2025-01-01T08:14:08.000Z,7,8,2,0,Connexion SSO,SSO Disconnect,login,logout,5,1043,260.75,43,448,4,4,1,1,1,4,1,1,1,0,0,1,1,0,10,2.0,0,0,0,normal,[],[],Connexion SSO > envoi d'une demande de résiliation > envoi d'une demande de résiliation > Envoi d'un document > SSO Disconnect,login > resiliation > resiliation > documents > logout
7225485-3826-1,10153826,admin_delegated,FR,Lyon,2025-01,1,2025-01-01T07:57:18.000Z,2025-01-01T08:35:00.000Z,7,8,2,0,Connexion SSO,SSO Disconnect,login,logout,7,2262,377.0,44,654,5,4,1,1,0,7,0,1,1,0,0,2,1,0,0,0.0,0,0,0,normal,[],[],Connexion SSO > Changer l'organisme de rattachement sécu. Social > Signature électronique d'un mandat sepa > Signature électronique d'un mandat sepa > Envoi d'un document > Envoi d'un document > SSO Disconnect,login > beneficiaries > beneficiaries > beneficiaries > documents > documents > logout
435904-1807-7,20101807,frequent_checker,FR,Lyon,2025-01,7,2025-01-01T08:09:54.000Z,2025-01-01T08:22:22.000Z,8,8,2,0,Connexion en tant que,Envoi d'un document,login,documents,6,748,149.6,12,476,6,5,1,1,3,3,2,1,1,0,0,2,1,0,25,7.5,0,1,6,impossible_seq,"[""impossible_seq""]",[],Connexion en tant que > Ajout de la carte tiers payant dans le wallet > Exporter remboursement > SSO Disconnect > Partager un justificatif du PACS > Envoi d'un document,login > tp_card > refunds > logout > documents > documents
3090632-7626-4,94527626,contact_heavy,DE,Frankfurt,2025-01,4,2025-01-01T08:10:55.000Z,2025-01-01T08:27:31.000Z,8,8,2,0,Connexion,Déconnexion,login,logout,5,996,249.0,22,452,5,3,1,1,1,4,1,1,1,0,0,2,1,0,10,2.0,0,0,0,normal,[],[],Connexion > Envoi d'un document > Ouverture d'un document contractuel > Partager un justificatif du PACS > Déconnexion,login > documents > documents > documents > logout
3642982-6260-7,11176260,admin_delegated,NL,Amsterdam,2025-01,7,2025-01-01T08:12:01.000Z,2025-01-01T08:23:31.000Z,8,8,2,0,Connexion SSO,SSO Disconnect,login,logout,4,690,230.0,43,464,4,3,1,1,0,4,0,1,1,0,0,0,0,0,0,0.0,0,0,0,normal,[],[],Connexion SSO > Signature électronique d'un mandat sepa > Changer l'organisme de rattachement sécu. Social > SSO Disconnect,login > beneficiaries > beneficiaries > logout
6785737-8132-7,36468132,contact_heavy,FR,Toulouse,2025-01,7,2025-01-01T08:13:30.000Z,2025-01-01T08:19:24.000Z,8,8,2,0,Connexion SSO,SSO Disconnect,login,logout,3,354,177.0,22,332,3,3,1,1,0,3,0,1,1,0,0,0,0,0,0,0.0,0,0,0,normal,[],[],Connexion SSO > demander un renvoi par mail d'échéancier > SSO Disconnect,login > claims > logout
9711761-0257-7,60630257,new_user,FR,Paris,2025-01,7,2025-01-01T08:15:58.000Z,2025-01-01T08:27:06.000Z,8,8,2,0,Connexion,Déconnexion,login,logout,5,668,167.0,23,470,5,4,1,1,0,5,0,1,1,0,0,2,2,0,0,0.0,0,0,0,normal,[],[],Connexion > Changer ses informations personnel > Téléchargement de la carte de tiers payant > Envoi carte TP par mail > Déconnexion,login > personal_info > tp_card > tp_card > logout
8615595-1492-3,36481492,contact_heavy,IT,Bologna,2025-01,3,2025-01-01T08:19:04.000Z,2025-01-01T08:35:51.000Z,8,8,2,0,Connexion en tant que,"Changer les coordonnées bancaire, changement de RIB pour les cotisations",login,banking,6,1007,201.4,17,511,6,4,1,1,1,5,1,1,1,0,0,0,0,0,10,1.67,0,1,6,impossible_seq,"[""impossible_seq""]",[],"Connexion en tant que > Contactez nous : via message (Mes prises en charge/devis) > Contactez nous : via message (Mes remboursements) > SSO Disconnect > Signature électronique d'un mandat sepa > Changer les coordonnées bancaire, changement de RIB pour les cotisations",login > contact_general > contact_general > logout > banking > banking
6922048-8377-2,90588377,contact_heavy,FR,Marseille,2025-01,2,2025-01-01T08:26:04.000Z,2025-01-01T08:30:22.000Z,8,8,2,0,Connexion,Déconnexion,login,logout,4,258,86.0,46,158,4,3,1,1,0,4,0,1,1,0,0,0,0,0,0,0.0,0,0,0,normal,[],[],Connexion > Validation MFA > demander un renvoi par mail d'échéancier > Déconnexion,login > login > claims > logout
