feature,importance
maxInterActionSeconds,0.07226016338929347
totalDurationSeconds,0.07185621649195865
avgInterActionSeconds,0.06990354712515565
totalEvents,0.05544421810025999
minInterActionSeconds,0.05078716735446663
lastRoute_logout,0.04417502776810433
ipChanged,0.041727929038243745
deviceChanged,0.041720208980304166
totalDownloadActions,0.041397972697229356
startHour,0.04021761530470281
uniqueRoutes,0.03967470066735939
uniqueActions,0.038929166154786324
uniqueIpsUsed,0.038810438362785554
uniqueDevicesUsed,0.03667770310600274
maxDownloadsIn2Minutes,0.03654244197804338
endHour,0.03584645628449255
hasLogin,0.028790589757461002
firstRoute_login,0.02843566773689601
pingPongCount,0.027976355561076374
longestKoStreak,0.02520785286665515
