sessionId,insuredId,persona,countryCode,city,month,sessionNumber,sessionStart,sessionEnd,startHour,endHour,dayOfWeek,isWeekend,firstAction,lastAction,firstRoute,lastRoute,totalEvents,totalDurationSeconds,avgInterActionSeconds,minInterActionSeconds,maxInterActionSeconds,uniqueActions,uniqueRoutes,uniqueIpsUsed,uniqueDevicesUsed,totalKOs,totalOKs,longestKoStreak,hasLogin,hasLogout,ipChanged,deviceChanged,totalDownloadActions,maxDownloadsIn2Minutes,pingPongCount,riskScoreMax,riskScoreAvg,endedAbruptly,is_anomaly,anomaly_event_count,primary_anomaly_type,anomaly_types,campaignIds,actionSequenceSignature,routeSequenceSignature
5411049-5319-7,29595319,admin_delegated,FR,Lyon,2025-01,7,2025-01-01T07:51:06.000Z,2025-01-01T08:13:49.000Z,7,8,2,0,Connexion en tant que,SSO Disconnect,login,logout,4,1363,454.33,12,697,4,3,1,1,0,4,0,1,1,0,0,0,0,0,0,0.0,0,0,0,normal,[],[],Connexion en tant que > Changer l'organisme de rattachement sécu. Social > Signature électronique d'un mandat sepa > SSO Disconnect,login > beneficiaries > beneficiaries > logout
9316857-7387-7,64077387,self_service,FR,Lille,2025-01,7,2025-01-01T07:53:50.000Z,2025-01-01T07:54:33.000Z,7,7,2,0,Connexion,Déconnexion,login,logout,2,43,43.0,43,43,2,2,1,1,1,1,1,1,1,0,0,0,0,0,10,5.0,0,0,0,normal,[],[],Connexion > Déconnexion,login > logout
7813911-3538-3,48973538,frequent_checker,FR,Toulouse,2025-01,3,2025-01-01T07:59:26.000Z,2025-01-01T08:00:06.000Z,7,8,2,0,Connexion SSO,SSO Disconnect,login,logout,2,40,40.0,40,40,2,2,1,1,0,2,0,1,1,0,0,0,0,0,0,0.0,0,0,0,normal,[],[],Connexion SSO > SSO Disconnect,login > logout
3985542-9697-1,52669697,frequent_checker,FR,Lille,2025-01,1,2025-01-01T08:06:11.000Z,2025-01-01T08:09:55.000Z,8,8,2,0,Connexion SSO,SSO Disconnect,login,logout,4,224,74.67,11,175,4,4,1,1,0,4,0,1,1,0,0,2,2,0,0,0.0,0,0,0,normal,[],[],Connexion SSO > Téléchargement carte TP > Télécharger le certificat d'adhésion > SSO Disconnect,login > tp_card > refunds > logout
3970938-2332-5,27322332,frequent_checker,FR,Nantes,2025-01,5,2025-01-01T08:10:13.000Z,2025-01-01T08:12:24.000Z,8,8,2,0,Connexion SSO,SSO Disconnect,login,logout,3,131,65.5,25,106,3,3,1,1,0,3,0,1,1,0,0,1,1,0,0,0.0,0,0,0,normal,[],[],Connexion SSO > Télécharger un décompte > SSO Disconnect,login > refunds > logout
2726308-8451-2,59358451,admin_delegated,FR,Toulouse,2025-01,2,2025-01-01T08:22:44.000Z,2025-01-01T08:45:36.000Z,8,8,2,0,Connexion,Déconnexion,login,logout,5,1372,343.0,50,514,3,3,1,1,1,4,1,1,1,0,0,0,0,0,10,2.0,0,0,0,normal,[],[],Connexion > Changer l'organisme de rattachement sécu. Social > Changer l'organisme de rattachement sécu. Social > Changer l'organisme de rattachement sécu. Social > Déconnexion,login > beneficiaries > beneficiaries > beneficiaries > logout
4109846-6967-4,65756967,admin_delegated,FR,Marseille,2025-01,4,2025-01-01T08:27:46.000Z,2025-01-01T09:08:21.000Z,8,9,2,0,Connexion en tant que,SSO Disconnect,login,logout,6,2435,487.0,13,706,3,3,1,1,0,6,0,1,1,0,0,0,0,0,0,0.0,0,0,0,normal,[],[],Connexion en tant que > Signature électronique d'un mandat sepa > Signature électronique d'un mandat sepa > Signature électronique d'un mandat sepa > Signature électronique d'un mandat sepa > SSO Disconnect,login > beneficiaries > beneficiaries > beneficiaries > beneficiaries > logout
4127019-3938-3,12183938,frequent_checker,FR,Bordeaux,2025-01,3,2025-01-01T08:34:02.000Z,2025-01-01T08:48:51.000Z,8,8,2,0,Connexion SSO,SSO Disconnect,login,logout,6,889,177.8,50,382,6,4,1,1,0,6,0,1,1,0,0,3,2,0,0,0.0,0,0,0,normal,[],[],Connexion SSO > Télécharger un décompte > Télécharger le certificat d'adhésion > Partager un justificatif du PACS > Ouverture d'un document contractuel > SSO Disconnect,login > refunds > refunds > documents > documents > logout
9332738-7387-5,64077387,self_service,FR,Lille,2025-01,5,2025-01-01T08:44:41.000Z,2025-01-01T08:46:55.000Z,8,8,2,0,Connexion,Déconnexion,login,logout,4,134,44.67,38,50,4,3,1,1,0,4,0,1,1,0,0,0,0,0,0,0.0,0,0,0,normal,[],[],Connexion > Validation MFA > Exporter remboursement > Déconnexion,login > login > refunds > logout
5327747-4218-4,66254218,self_service,FR,Paris,2025-01,4,2025-01-01T08:53:58.000Z,2025-01-01T08:57:40.000Z,8,8,2,0,Connexion,Déconnexion,login,logout,3,222,111.0,24,198,3,3,1,1,0,3,0,1,1,0,0,0,0,0,0,0.0,0,0,0,normal,[],[],Connexion > Changer ses informations personnel > Déconnexion,login > personal_info > logout
7883701-2311-5,78272311,self_service,FR,Lille,2025-01,5,2025-01-01T08:56:49.000Z,2025-01-01T09:07:18.000Z,8,9,2,0,Connexion,Déconnexion,login,logout,7,629,104.83,25,217,7,4,1,1,0,7,0,1,1,0,0,3,2,0,0,0.0,0,0,0,normal,[],[],Connexion > Validation MFA > Télécharger un décompte > Télécharger le certificat d'adhésion > Partager un justificatif du PACS > Ouverture d'un document contractuel > Déconnexion,login > login > refunds > refunds > documents > documents > logout
3963698-7472-5,49677472,admin_delegated,FR,Paris,2025-01,5,2025-01-01T08:57:53.000Z,2025-01-01T09:15:59.000Z,8,9,2,0,Connexion en tant que,SSO Disconnect,login,logout,5,1086,271.5,34,491,4,3,1,1,1,4,1,1,1,0,0,0,0,1,10,2.0,0,0,0,normal,[],[],Connexion en tant que > Signature électronique d'un mandat sepa > Changer l'organisme de rattachement sécu. Social > Signature électronique d'un mandat sepa > SSO Disconnect,login > beneficiaries > beneficiaries > beneficiaries > logout
6764531-8669-3,11358669,self_service,FR,Lille,2025-01,3,2025-01-01T09:02:07.000Z,2025-01-01T09:30:26.000Z,9,9,2,0,Connexion SSO,SSO Disconnect,login,logout,5,1699,424.75,39,818,5,4,1,1,0,5,0,1,1,0,0,0,0,0,0,0.0,0,0,0,normal,[],[],"Connexion SSO > Changer les coordonnées bancaire, changement de RIB pour les cotisations > Changer les coordonnées bancaire > Changer ses informations personnel > SSO Disconnect",login > banking > banking > personal_info > logout
6472913-4572-7,15254572,frequent_checker,FR,Nantes,2025-01,7,2025-01-01T09:58:17.000Z,2025-01-01T10:03:57.000Z,9,10,2,0,Connexion,Déconnexion,login,logout,5,340,85.0,44,170,5,4,1,1,0,5,0,1,1,0,0,2,1,0,0,0.0,0,0,0,normal,[],[],Connexion > Exporter remboursement > Télécharger un décompte > Téléchargement carte TP > Déconnexion,login > refunds > refunds > tp_card > logout
2027625-5257-9,60355257,admin_delegated,IT,Rome,2025-01,9,2025-01-01T10:05:50.000Z,2025-01-01T10:10:31.000Z,10,10,2,0,Connexion SSO,SSO Disconnect,login,logout,3,281,140.5,41,240,3,3,1,1,0,3,0,1,1,0,0,0,0,0,0,0.0,0,0,0,normal,[],[],Connexion SSO > Signature électronique d'un mandat sepa > SSO Disconnect,login > beneficiaries > logout
127264-0864-3,70500864,frequent_checker,FR,Nantes,2025-01,3,2025-01-01T10:13:37.000Z,2025-01-01T10:21:37.000Z,10,10,2,0,Connexion,Déconnexion,login,logout,4,480,160.0,36,399,4,3,1,1,0,4,0,1,1,0,0,0,0,0,0,0.0,0,0,0,normal,[],[],Connexion > Validation MFA > Changer ses informations personnel > Déconnexion,login > login > personal_info > logout
