feature,importance
totalKOs,0.33253884
longestKoStreak,0.19558722
hasLogin,0.068462834
uniqueIpsUsed,0.05591245
endHour,0.05124527
minInterActionSeconds,0.04108275
lastRoute_logout,0.039430324
hasLogout,0.036516547
ipChanged,0.034426168
firstRoute_login,0.03186664
avgInterActionSeconds,0.029422594
startHour,0.028787142
totalOKs,0.010564103
maxInterActionSeconds,0.010430374
lastRoute_refunds,0.0047314437
totalEvents,0.0045576184
uniqueRoutes,0.004199424
uniqueActions,0.00384186
totalDurationSeconds,0.00373746
firstRoute_banking,0.003007868
