from_action,to_action,count,probability
Connexion,Validation MFA,3402,0.4055793991416309
Changer ses informations personnel,Changer ses informations personnel,1076,0.29888888888888887
Changer ses informations personnel,Déconnexion,1049,0.29138888888888886
Régénération code MFA,Validation MFA,981,1.0
Connexion,Sélection email MFA,981,0.11695278969957082
Sélection email MFA,Régénération code MFA,981,1.0
Signature électronique d'un mandat sepa,SSO Disconnect,969,0.25614591593973035
Signature électronique d'un mandat sepa,Signature électronique d'un mandat sepa,940,0.2484800422944753
Exporter remboursement,Déconnexion,874,0.24585091420534458
Exporter remboursement,Exporter remboursement,851,0.23938115330520393
Connexion en tant que,Signature électronique d'un mandat sepa,658,0.2989550204452522
Envoi d'un document,Déconnexion,622,0.22792231586661782
Exporter remboursement,SSO Disconnect,594,0.1670886075949367
Validation MFA,Changer ses informations personnel,551,0.12571298197581565
Connexion SSO,Exporter remboursement,547,0.13925661914460286
Changer l'organisme de rattachement sécu. Social,SSO Disconnect,533,0.25478011472275336
Ouverture d'un document contractuel,Déconnexion,524,0.22654561175961954
Changer l'organisme de rattachement sécu. Social,Signature électronique d'un mandat sepa,519,0.24808795411089865
Connexion,Changer ses informations personnel,503,0.05996661897949451
Télécharger un décompte,Déconnexion,491,0.2277365491651206
Signature électronique d'un mandat sepa,Changer l'organisme de rattachement sécu. Social,487,0.12873380914618027
Envoi d'un document,Envoi d'un document,468,0.1714913887871015
Changement de Mot de passe,Déconnexion,457,0.2858036272670419
Téléchargement de la carte de tiers payant,Déconnexion,456,0.24345969033635878
Changement de Mot de passe,Changer ses informations personnel,451,0.28205128205128205
Changer ses informations personnel,Changement de Mot de passe,446,0.1238888888888889
Validation MFA,Exporter remboursement,443,0.10107232489162674
Exporter remboursement,Télécharger un décompte,438,0.12320675105485232
Changer l'organisme de rattachement sécu. Social,Changer l'organisme de rattachement sécu. Social,437,0.20889101338432123
Télécharger un décompte,Exporter remboursement,422,0.19573283858998144
Téléchargement de la carte de tiers payant,Téléchargement de la carte de tiers payant,397,0.21195942338494395
Envoi d'un document,SSO Disconnect,395,0.14474166361304508
Changer les coordonnées bancaire,SSO Disconnect,388,0.20693333333333333
Connexion en tant que,Changer l'organisme de rattachement sécu. Social,385,0.17492049068605178
Signature électronique d'un mandat sepa,Déconnexion,385,0.10177108115252445
Connexion,Exporter remboursement,384,0.045779685264663805
Envoi d'un document,Ouverture d'un document contractuel,363,0.1330157566874313
Ouverture d'un document contractuel,Ouverture d'un document contractuel,360,0.1556420233463035
Partager un justificatif du PACS,Déconnexion,350,0.23793337865397687
Ouverture d'un document contractuel,SSO Disconnect,343,0.14829226113272806
Validation MFA,Envoi d'un document,340,0.07757243896874287
Ouverture d'un document contractuel,Envoi d'un document,331,0.14310419368785127
Téléchargement de la carte de tiers payant,SSO Disconnect,327,0.17458622530699414
Télécharger un décompte,SSO Disconnect,324,0.150278293135436
Télécharger un décompte,Télécharger un décompte,313,0.14517625231910947
Signature électronique d'un mandat sepa,Changer les coordonnées bancaire,301,0.0795664816283373
